time,users,connected 
0,6,6 
10,16,16 
20,27,27 
30,31,31 
40,53,52 
50,70,69 
60,103,102 
70,142,142 
80,182,180 
90,245,242 
100,319,317 
110,385,384 
120,428,428 
130,428,428 
140,416,416 
150,400,401 
160,372,373 
170,338,338 
180,309,310 
190,280,280 
200,260,260 
210,235,235 
220,220,220 
230,209,209 
240,197,197 
250,182,183 
260,178,178 
270,171,172 
280,169,169 
290,166,166 
300,163,163 
310,154,155 
320,143,143 
330,137,137 
340,127,127 
350,114,114 
360,98,98 
370,92,92 
380,73,73 
390,65,66 
400,53,54 
410,46,46 
420,32,32 
430,25,25 
440,13,14 
450,5,5 
460,1,1 
470,1,1 
476,0,0 
