time,users_count,finish_users_count 
0,0.6,0 
10,1,0 
20,1.1,0 
30,0.4,0 
40,2.2,0 
50,1.7,0 
60,3.3,0 
70,3.9,0 
80,4,0 
90,6.3,0 
100,7.5,0.1 
110,6.7,0.1 
120,4.3,0 
130,0,0 
140,0,1.2 
150,0,1.6 
160,0,2.8 
170,0,3.4 
180,0,2.9 
190,0,2.9 
200,0,2 
210,0,2.5 
220,0,1.5 
230,0,1.1 
240,0,1.2 
250,0,1.5 
260,0,0.4 
270,0,0.7 
280,0,0.2 
290,0,0.3 
300,0,0.3 
310,0,0.9 
320,0,1.1 
330,0,0.6 
340,0,1 
350,0,1.3 
360,0,1.6 
370,0,0.6 
380,0,1.9 
390,0,0.8 
400,0,1.2 
410,0,0.7 
420,0,1.4 
430,0,0.7 
440,0,1.2 
450,0,0.8 
460,0,0.4 
470,0,0 
476,0,0.1 
